,ls_id,release,brickid,brickname,objid,brick_primary,ra,dec,type,flux_g,flux_r,flux_i,flux_z,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z,mw_transmission_g,mw_transmission_r,mw_transmission_i,mw_transmission_z,galdepth_g,galdepth_r,galdepth_i,galdepth_z,shape_r,fitbits,nobs_g,nobs_r,nobs_i,nobs_z,dist_arcsec
0,10995328122620163,10000,202031,1901m230,2307,1,190.1376085324964,-23.11605714926265,REX,0.05494933,0.33028337,0.5860075,1.0522468,419.1114,193.84125,74.3316,32.818073,0.8218181,0.8761765,0.9073725,0.92872775,461.70157,193.92036,73.78404,32.79618,0.44376346,0,2,2,2,2,765.2203324554089
1,10995328122620264,10000,202031,1901m230,2408,1,190.1426893279519,-23.11418880432593,REX,0.46285018,1.2617476,1.4325181,2.088284,85.761894,75.05119,36.102104,27.129036,0.8214755,0.8759304,0.9071851,0.92858183,91.02457,85.185524,35.704556,32.79618,0.47259265,0,1,1,1,2,751.3273858392744
2,10995328122620310,10000,202031,1901m230,2454,1,190.1450098808738,-23.11442240101471,REX,3.3296309,10.784973,16.869946,23.28343,29.59111,19.464163,12.696974,5.471406,0.8213111,0.87581235,0.9070952,0.92851186,91.02457,85.185524,35.704556,13.764415,1.2032034,0,1,1,1,1,748.5179669186954
3,10995328122620460,10000,202031,1901m230,2604,1,190.1523190657761,-23.12341788239767,REX,0.3120254,0.49056277,0.50156736,0.39325258,697.35364,215.2045,159.8753,17.794477,0.82076776,0.875422,0.9067979,0.9282803,669.6343,154.33353,103.59967,13.764415,0.21629211,0,3,2,2,1,767.0680834215703
4,10995328122620365,10000,202031,1901m230,2509,1,190.1480009535594,-23.12129811193612,REX,0.69768864,2.2734618,3.5600984,4.386791,300.3863,137.76721,127.56857,13.653085,0.82107866,0.8756454,0.906968,0.9284128,311.86108,154.33353,139.30423,13.764415,0.44134486,0,2,2,2,1,766.242044070538
5,10995328122620572,10000,202031,1901m230,2716,1,190.1576105823727,-23.12175969851382,PSF,0.0077749775,0.1633955,0.44268212,0.5640252,976.87036,518.28424,314.4663,64.742584,0.8203834,0.87514585,0.9065875,0.9281165,669.6343,258.67627,175.98932,32.321514,0.0,0,3,3,3,2,754.4758769421466
6,10995328122620587,10000,202031,1901m230,2731,1,190.1586592572835,-23.12188297213235,PSF,0.60378045,2.4907734,5.728181,8.064869,890.7814,372.53494,252.60005,55.920414,0.8203058,0.87509006,0.90654504,0.9280834,669.6343,258.67627,175.98932,32.321514,0.0,0,3,3,3,2,753.5034754594209
7,10995328122620494,10000,202031,1901m230,2638,1,190.1538891720573,-23.12141965809974,REX,0.24859986,0.15707496,0.7284572,1.1927477,429.73874,91.09429,62.31188,8.842232,0.8206562,0.87534183,0.9067368,0.9282328,669.6343,154.33353,103.59967,13.764415,0.7860271,0,3,2,2,1,758.3664883414513
8,10995328122620518,10000,202031,1901m230,2662,1,190.1551873840809,-23.11839200604496,REX,0.17577596,0.35757387,0.50444585,-0.043289624,862.1668,313.41684,48.72964,17.85382,0.8205542,0.8752686,0.906681,0.92818934,669.6343,189.52827,35.704556,13.764415,0.21592875,0,3,2,1,1,746.6654196598182
9,10995328122620573,10000,202031,1901m230,2717,1,190.1576303795343,-23.11711119313889,EXP,0.37249976,1.0761168,1.794029,1.9762911,384.99207,93.60974,43.89872,17.942228,0.8202727,0.8750663,0.90652686,0.9280693,669.6343,189.52827,72.38963,32.321514,1.2125779,0,3,2,2,2,739.1375709979967
10,10995328122620579,10000,202031,1901m230,2723,1,190.1581321333667,-23.11797075370481,REX,0.15248968,0.5089136,0.86026317,1.1787163,862.37854,298.75394,96.95282,49.64729,0.8202501,0.87505007,0.9065145,0.9280597,669.6343,189.52827,72.38963,32.321514,0.22009802,0,3,2,2,2,741.2913074745037
11,10995328122620564,10000,202031,1901m230,2708,1,190.1571449038588,-23.11510706755945,REX,0.037030466,0.37790403,1.0039077,3.1930575,619.97437,315.81482,96.27286,1.66631,0.82025903,0.8750565,0.9065194,0.9280635,448.79776,189.52827,72.38963,0.0,0.20474322,0,2,2,2,1,733.2177531989346
12,10995326731160437,10000,200704,1901m232,2933,1,190.1681938712603,-23.12908300495003,PSF,0.17580555,0.86901736,2.527053,4.2432203,945.1073,456.3192,287.872,59.61333,0.8195981,0.87458146,0.9061575,0.92778164,671.50037,259.3688,174.7735,32.322563,0.0,0,3,3,3,2,765.8408589776809
13,10995326731160459,10000,200704,1901m232,2955,1,190.1690903844624,-23.12898066804387,REX,3.4793868,7.9135976,10.698118,14.804034,525.08636,180.08139,153.25519,31.704762,0.81952935,0.87453204,0.9061199,0.9277523,671.50037,259.3688,174.7735,32.322563,0.39960307,0,3,3,3,2,764.4681538358312
14,10995326731160427,10000,200704,1901m232,2923,1,190.1678719731297,-23.12798695400187,REX,0.12498481,0.33772534,0.5433684,0.8802486,723.0042,289.28198,195.73135,36.53386,0.8196197,0.87459695,0.90616935,0.9277909,671.50037,259.3688,174.7735,32.322563,0.3842721,0,3,3,3,2,762.5154210180642
15,10995326731160466,10000,200704,1901m232,2962,1,190.1692733934055,-23.12775503995282,REX,0.7241725,1.4159197,3.3545911,4.7952952,380.20938,120.92493,84.631096,15.851528,0.8194696,0.87448907,0.90608716,0.9277268,671.50037,259.3688,174.7735,32.322563,0.88892406,0,3,3,3,2,760.1177554681389
16,10995326731160449,10000,200704,1901m232,2945,1,190.1686295531168,-23.12701280105302,REX,0.21340455,0.13511679,0.40643305,0.91233236,769.62476,330.9233,218.00362,41.050697,0.81950665,0.87451565,0.9061074,0.9277426,671.50037,259.3688,174.7735,32.322563,0.32075557,0,3,3,3,2,758.3525791261059
17,10995326731160483,10000,200704,1901m232,2979,1,190.1697604161603,-23.12833462792053,PSF,0.11947967,0.17377925,0.314564,0.2079865,957.27814,512.1995,316.40643,64.63233,0.8194425,0.8744696,0.9060723,0.9277153,671.50037,259.3688,174.7735,32.322563,0.0,8192,3,3,3,2,761.521803964708
