,ls_id,release,brickid,brickname,objid,brick_primary,ra,dec,type,flux_g,flux_r,flux_i,flux_z,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z,mw_transmission_g,mw_transmission_r,mw_transmission_i,mw_transmission_z,galdepth_g,galdepth_r,galdepth_i,galdepth_z,shape_r,fitbits,nobs_g,nobs_r,nobs_i,nobs_z,dist_arcsec
8605,10995329521423157,10000,203365,1915m227,4917,1,191.5522060890862,-22.87113483582374,PSF,0.1351279,0.1536892,0.3697152,0.36072552,349.96402,231.75623,431.04276,138.98944,0.8190827,0.87421095,0.9058752,0.92756176,275.23563,148.46146,225.10402,72.81562,0.0,0,2,2,4,4,596.2158000649385
8606,10995329521423218,10000,203365,1915m227,4978,1,191.5545516709928,-22.87207216766037,PSF,-0.014401299,0.30286884,0.45125908,0.5598555,358.95786,229.29585,428.85895,138.35321,0.81887877,0.8740643,0.9057635,0.9274748,275.23563,148.46146,225.10402,72.81562,0.0,0,2,2,4,4,598.7670849332374
8607,10995328127864519,10000,202036,1915m230,3783,1,191.55907214936,-22.87559967144534,PSF,0.32028657,1.2308024,3.3024015,5.01069,348.6923,213.22707,374.4909,128.82501,0.8184939,0.8737876,0.9055526,0.92731047,274.4898,147.40207,223.26346,72.784805,0.0,0,2,2,4,4,599.4590307254236
8608,10995329521423337,10000,203365,1915m227,5097,1,191.5582495784192,-22.8738026948012,REX,0.13962837,0.3583866,0.5014436,1.188639,197.24933,90.47599,127.36313,42.16871,0.8185119,0.8738005,0.90556246,0.92731816,275.23563,148.46146,225.10402,72.81562,0.78303987,8192,2,2,4,4,602.3392132969383
8609,10995328127864574,10000,202036,1915m230,3838,1,191.5614062445973,-22.87559786389872,SER,10.124381,29.081425,43.70782,59.061386,127.23476,52.516163,85.96946,35.654922,0.8182082,0.8735821,0.90539604,0.9271885,274.4898,147.40207,223.26346,72.784805,0.8646152,128,2,2,4,4,604.7915082359034
8610,10995329521423461,10000,203365,1915m227,5221,1,191.5625363601927,-22.87498002676537,REX,0.23929954,0.41000918,0.8145318,0.641928,248.22125,125.24197,188.92169,62.019417,0.81800246,0.8734341,0.9052833,0.92710066,275.23563,148.46146,225.10402,72.81562,0.5408868,8192,2,2,4,4,608.9914544292623
8611,10995329521423399,10000,203365,1915m227,5159,1,191.5602554175235,-22.87458513981698,REX,0.21147566,0.4489615,0.6403986,1.039201,230.21487,110.97952,162.73355,53.295223,0.8182889,0.8736402,0.9054403,0.92722297,275.23563,148.46146,225.10402,72.81562,0.6317486,0,2,2,4,4,604.8083535930566
8612,10995329521423310,10000,203365,1915m227,5070,1,191.557468021654,-22.87351174983509,PSF,0.8875585,2.932692,6.6346936,9.925877,329.9026,191.16675,334.42023,120.12804,0.81860137,0.8738648,0.9056115,0.92735636,275.23563,148.46146,225.10402,72.81562,0.0,0,2,2,4,4,601.3608070164269
8613,10995329521423245,10000,203365,1915m227,5005,1,191.5554329553156,-22.87027748933971,EXP,1.1054828,2.152651,2.9909282,3.4664323,216.86147,107.04555,162.4731,54.438316,0.8186105,0.87387145,0.9056165,0.92736024,275.23563,148.46146,225.10402,72.81562,0.9398803,0,2,2,4,4,605.5522247222594
8614,10995329521423082,10000,203365,1915m227,4842,1,191.5495848719126,-22.86710082545207,REX,0.263586,0.34597233,0.46487457,0.6113961,328.06317,201.83723,354.1814,113.28564,0.8191945,0.8742913,0.9059365,0.92760944,275.23563,148.46146,225.10402,72.81562,0.20003572,0,2,2,4,4,601.8069996138145
8615,10995329521423128,10000,203365,1915m227,4888,1,191.5512161153924,-22.86728061815001,PSF,-0.01516051,-0.0019186276,0.25024837,0.516893,359.637,234.8085,431.3556,138.11655,0.8189566,0.8741203,0.9058062,0.927508,275.23563,148.46146,225.10402,72.81562,0.0,0,2,2,4,4,604.7300140260579
8616,10995329521423072,10000,203365,1915m227,4832,1,191.5494275091957,-22.86645934518627,REX,0.29762116,0.52537405,0.9366732,1.10406,440.49097,899.85846,318.32578,103.23009,0.8191517,0.87426054,0.90591305,0.9275912,275.23563,690.3617,225.10402,72.81562,0.2506186,0,2,4,4,4,603.2747430511573
8617,10995329521423142,10000,203365,1915m227,4902,1,191.5516972161633,-22.86593600798738,REX,0.10701425,0.20488225,0.34669963,0.6872787,733.7814,731.11255,237.49858,76.072685,0.8187423,0.87396616,0.9056887,0.9274165,691.8183,690.3617,225.10402,72.81562,0.42349443,8192,4,4,4,4,609.4837739174882
8618,10995329521423249,10000,203365,1915m227,5009,1,191.5554943537193,-22.86673164144942,EXP,0.33125532,0.7627383,1.4826423,1.807563,276.3068,388.62012,229.2731,74.71738,0.81825686,0.8736171,0.9054227,0.9272093,275.23563,148.46146,225.10402,72.81562,0.59844255,0,2,2,4,4,615.3540481149907
8619,10995329521423162,10000,203365,1915m227,4922,1,191.5525823109855,-22.86534132010168,REX,3.7813432,8.158936,11.484653,13.537733,478.80118,412.9567,148.98566,44.98672,0.81854516,0.8738244,0.9055807,0.9273324,691.8183,690.3617,225.10402,56.657017,0.5858468,0,4,4,4,4,613.0007759264417
8620,10995329521423250,10000,203365,1915m227,5010,1,191.5555086797407,-22.8661644910592,REX,0.33130673,0.6288987,0.7938845,1.368073,626.3603,623.1219,197.94316,64.59689,0.81819767,0.8735745,0.90539026,0.927184,691.8183,690.3617,225.10402,72.81562,0.51462984,0,4,4,4,4,616.9415477025583
8621,10995329521423233,10000,203365,1915m227,4993,1,191.5549975305255,-22.86550820920453,PSF,0.22378024,0.30084074,0.32398877,0.15056059,1081.707,1115.3226,431.12552,139.8016,0.8182049,0.87357974,0.9053942,0.9271871,691.8183,690.3617,225.10402,72.81562,0.0,0,4,4,4,4,617.6552649506484
8622,10995329521423298,10000,203365,1915m227,5058,1,191.5572125050972,-22.86945696762124,REX,0.11605522,0.1947691,0.25285923,0.14195195,327.3853,199.82932,351.73492,112.28355,0.81827277,0.8736285,0.9054314,0.92721605,275.23563,148.46146,225.10402,72.81562,0.20909292,0,2,2,4,4,611.6655965984435
8623,10995329521423411,10000,203365,1915m227,5171,1,191.5604756837898,-22.86849142481122,REX,0.54654527,2.565659,5.7614894,8.960083,258.66263,130.66153,201.25882,68.962,0.81772584,0.8732351,0.9051316,0.9269825,275.23563,148.46146,225.10402,72.81562,0.44265795,0,2,2,4,4,621.4561533988314
8624,10995329521423395,10000,203365,1915m227,5155,1,191.5601468707324,-22.86816474118418,REX,1.7764437,3.2745783,4.6317444,5.633959,202.58118,96.49713,143.78836,49.48399,0.8177402,0.8732455,0.90513945,0.92698866,275.23563,148.46146,225.10402,72.81562,0.6592748,0,2,2,4,4,621.6047425507787
8625,10995329521422711,10000,203365,1915m227,4471,1,191.5365938581575,-22.86471702375034,DEV,26.83145,76.90014,122.93658,159.34348,152.82248,85.13502,13.981563,14.588838,0.82044435,0.87518966,0.90662086,0.9281425,691.8183,611.8317,0.0,35.540176,1.5958376,130,4,4,4,4,582.6264140877662
8626,10995329521422866,10000,203365,1915m227,4626,1,191.5424096307653,-22.86406818314897,PSF,9.137114,20.403484,26.301098,30.072071,538.7071,396.16132,212.25897,95.779366,0.81992054,0.8748132,0.9063341,0.92791915,691.8183,690.3617,225.10402,72.81562,0.0,128,4,4,4,4,595.8345328957282
